timestamp_local,elapsed_s,type,mv,adc,mv_peak,adc_peak,baseline_adc,dead_us,lat,lon,temp_C,pressure_hPa
2025-10-27T10:16:12.055505+02:00,1.099,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.061377+02:00,1.100,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.067249+02:00,1.100,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.073105+02:00,1.101,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.078969+02:00,1.101,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.084841+02:00,1.101,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.090705+02:00,1.101,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.096561+02:00,1.102,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.102425+02:00,1.102,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.108289+02:00,1.103,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.114161+02:00,1.103,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.120025+02:00,1.103,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.125889+02:00,1.191,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.131761+02:00,1.192,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.137617+02:00,1.192,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.143481+02:00,1.192,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.149353+02:00,1.193,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.155233+02:00,1.193,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.161081+02:00,1.193,sample,860.22,176,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.166945+02:00,1.194,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.172809+02:00,1.194,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.178673+02:00,1.194,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.184537+02:00,1.195,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.190401+02:00,1.195,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.196273+02:00,1.195,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.202129+02:00,1.195,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.208001+02:00,1.196,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
