Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U1,~,SOIC-8_3.9x4.9mm_P1.27mm,144.525,-75.015,0.0,top
U2,~,SOIC-8_3.9x4.9mm_P1.27mm,144.525,-81.595,0.0,top
